Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes,Sentiment,Text
Rsr,Satna,,Retail & B2C Sales Department,7 Mar 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,nothing,excellent company ,1,nothing excellent company 
Senior Accounting Specialist,Chennai,,Accounting & Taxation Department,1 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,nothing,,1,nothing 
Field Engineer,Pune,Full Time,Construction Engineering Department,4 Dec 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,leaves,managers favor certain female employees for unknown reasons spend countess hours with them some senior employees and managers have deep rooted insecurity they cant handle people smarter than them they just enjoy on behalf of the company discriminations is rampant progress is slow career has no meaning too much shady stuff goes around in factory at chakan especially with female employees getting unfairly rewarded too much sleezy behavior witnessed in factory sometimes physical violence also observedread more,-1,leaves managers favor certain female employees for unknown reasons spend countess hours with them some senior employees and managers have deep rooted insecurity they cant handle people smarter than them they just enjoy on behalf of the company discriminations is rampant progress is slow career has no meaning too much shady stuff goes around in factory at chakan especially with female employees getting unfairly rewarded too much sleezy behavior witnessed in factory sometimes physical violence also observedread more
Complaint Handling Specialist,Pune,,Quality & Compliance Department,5 Mar 2022,4.0,4.0,4.0,3.0,5.0,5.0,4.0,good working environment,,1,good working environment 
Area Sales Manager,"Gurgaon/Gurugram, Haryana",,,9 Jul 2022,5.0,5.0,2.0,5.0,3.0,2.0,1.0,"freedom to work 
and package",policies,1,"freedom to work 
and package policies"
Area Manager,Haryana,,Service  Department,7 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,very good culture of work,nothing,1,very good culture of work nothing
Software Technologist 1,Bengaluru,,,0 Aug 2022,5.0,4.0,4.0,3.0,5.0,5.0,5.0,everything,none observed till date,1,everything none observed till date
Hr Specialist,Pune,,,5 Dec 2021,4.0,5.0,3.0,3.0,5.0,5.0,3.0,work life balance over all work culture,yearly growth for female is less,1,work life balance over all work culture yearly growth for female is less
Testing Engineer,Pune,,Quality Assurance and Testing Department,1 Apr 2021,5.0,5.0,5.0,5.0,4.0,4.0,5.0,very nice working environment,"working from jan 2013 on the contract but still not taken on payroll
starting as a lab technician and now right now my role is as a testing engineer in a verification team
can this feedback help me for taking on philips payroll
can take feedback from anyone who is more than 5years in philips
thank you",1,"very nice working environment working from jan 2013 on the contract but still not taken on payroll
starting as a lab technician and now right now my role is as a testing engineer in a verification team
can this feedback help me for taking on philips payroll
can take feedback from anyone who is more than 5years in philips
thank you"
Associate Executive,Chennai,,,1 Apr 2022,4.0,4.0,4.0,3.0,4.0,4.0,4.0,all are goodsuper,nothing,1,all are goodsuper nothing
HR Reporting And Data Quality Specialist,Pune,,Human Resources Department,0 Nov 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,everything from hr policies to learning and development,nothing,1,everything from hr policies to learning and development nothing
Clinical Application Specialist Trainee,Banglore,,Pharmaceutical & Biotechnology Department,1 Jul 2021,1.0,3.0,1.0,4.0,1.0,4.0,1.0,gender bias,,-1,gender bias 
Executive Manager,Pune,Full Time,,8 Apr 2021,2.0,1.0,1.0,1.0,1.0,1.0,1.0,well there is a lot of politics and they support only there caste people you will experience around a lot of south indian crowd in senior and middle management  also there is no transparency and flow of information from management to the employees  you need to wonder around if your job is safe or is thr any surprise anouncement coming up,well you will always get surprised to see and hear around the way work positions and people change,-1,well there is a lot of politics and they support only there caste people you will experience around a lot of south indian crowd in senior and middle management  also there is no transparency and flow of information from management to the employees  you need to wonder around if your job is safe or is thr any surprise anouncement coming up well you will always get surprised to see and hear around the way work positions and people change
Management Trainee,"Mumbai, Maharashtra",Full Time,Marketing Department,9 Feb 2023,5.0,5.0,4.0,4.0,4.0,5.0,4.0,good team and culture,freedom to justify your job,1,good team and culture freedom to justify your job
Fse,New Delhi,Full Time,Engineering Department,9 Oct 2021,5.0,3.0,5.0,4.0,5.0,5.0,4.0,no work life balance,opportunity to grow,1,no work life balance opportunity to grow
Product Quality Engineer,Chakan Pune,Full Time,Production & Manufacturing Department,9 Mar 2023,1.0,1.0,3.0,5.0,1.0,5.0,4.0,toxic work culture,work balance,-1,toxic work culture work balance
Senior Accounting Specialist,"Chennai, Tamil Nadu",Full Time,Finance & Accounting Department,2 May 2023,3.0,4.0,3.0,3.0,4.0,4.0,3.0,variable pay hike cycle,"good support from management 
really family like behaviour",0,"variable pay hike cycle good support from management 
really family like behaviour"
Senior Engineer,Vadodara,Full Time,Retail & B2C Sales Department,8 Nov 2021,5.0,4.0,5.0,4.0,5.0,5.0,5.0,,good company to work with,1, good company to work with
Clinical Application Specialist,Chennai,,MATC  Department,6 May 2022,4.0,4.0,5.0,5.0,5.0,4.0,5.0,good,good culture,1,good good culture
DGM Quality And Regulations,Chennai,,,0 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,lots of good projects and ample learning opportunities,no transport facility provided,1,lots of good projects and ample learning opportunities no transport facility provided
Senior Manager,PIC Bangalore,,Voice / Blended Department,9 Nov 2021,5.0,4.0,5.0,3.0,4.0,5.0,5.0,skill  development  learning,,1,skill  development  learning 
Service Innovation Engineer,Pune,,Pharmaceutical & Biotechnology Department,9 Jan 2022,5.0,5.0,5.0,2.0,5.0,5.0,5.0,,,1, 
R&D Lab Technician (Electronics And Electrical),Pune,Full Time,Research & Development Department,9 Jan 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good work environment company policies are good,good working environment,1,good work environment company policies are good good working environment
System Test Engineer,Pune,Full Time,DXR Department,4 Feb 2022,4.0,4.0,4.0,4.0,4.0,4.0,3.0,nothing,career growth management support,1,nothing career growth management support
Assistant Manager,Punjab,Full Time,,2 Feb 2022,4.0,2.0,4.0,4.0,2.0,3.0,3.0,work pressure is very high slow growth,work cultural is very good ,1,work pressure is very high slow growth work cultural is very good 
Philips India Testing Engineer,Pune,,,1 Feb 2022,4.0,4.0,4.0,5.0,5.0,5.0,5.0,company policies,big mnc deep pockets they pay you well and there is relatively less work pressure work from  home no fixed timings no tracking they give you some work and leave you alone up to individual work ethics to see a project to completion or spin loops to get away from doing anything,1,company policies big mnc deep pockets they pay you well and there is relatively less work pressure work from  home no fixed timings no tracking they give you some work and leave you alone up to individual work ethics to see a project to completion or spin loops to get away from doing anything
Service Engineer,Delhi NCR,,After Sales Service & Repair Department,0 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,no job security india is the donkey work hub no one in the leadership team has any authority or any idea on whats going on work flows from nl or us and they may decide at any point that they dont want work with indian people and then entire teams are laid off reorg happens every 6mnths you could join as a head and after 6mnths you are probably working hand on on some task unrelated to what you were hired for policies all confused basically india org is a compleye mess and is only managing under a strong brand nameread more,colleagues are good,1,no job security india is the donkey work hub no one in the leadership team has any authority or any idea on whats going on work flows from nl or us and they may decide at any point that they dont want work with indian people and then entire teams are laid off reorg happens every 6mnths you could join as a head and after 6mnths you are probably working hand on on some task unrelated to what you were hired for policies all confused basically india org is a compleye mess and is only managing under a strong brand nameread more colleagues are good
Project Manager,Pune,,Technology / IT Department,5 Jan 2021,2.0,5.0,1.0,4.0,1.0,1.0,3.0,boss culture is too much,good working environment skill life partners and ambience,-1,boss culture is too much good working environment skill life partners and ambience
Assistant Manager,Kolkata,,,9 Jan 2022,1.0,1.0,5.0,2.0,1.0,1.0,1.0,nothing wrong is there,excellent work life balance and senior leadership is great work culture is amazing and team members are very supportive,-1,nothing wrong is there excellent work life balance and senior leadership is great work culture is amazing and team members are very supportive
Sales Officer,Kolkata,,Retail & B2C Sales Department,5 Oct 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,none so far,its very good company and the team manager is very cooperative,1,none so far its very good company and the team manager is very cooperative
"Project Manager,scrummaster",Bengaluru,,Technology / IT Department,7 Sep 2021,5.0,5.0,3.0,4.0,5.0,5.0,3.0,we should work more time,,1,we should work more time 
Quality Assurance   (working remotely),,,,7 Apr 2022,5.0,4.0,5.0,5.0,4.0,5.0,4.0,,,1, 
Trainee,Pune,Full Time,Production Department,2 Jan 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,great workplace for work,not good for professional career  growth,1,great workplace for work not good for professional career  growth
Branch Service Head - Service Operations,No Office,Full Time,Service Delivery Department,1 Sep 2021,3.0,3.0,3.0,3.0,3.0,3.0,1.0,appraisal is not good due to bad manager as a result employee career growth is stuck,very bad company culture and ethics,0,appraisal is not good due to bad manager as a result employee career growth is stuck very bad company culture and ethics
Branch Service Head,Ahmedabad,Full Time,Teaching & Training Department,6 Feb 2023,1.0,1.0,3.0,1.0,3.0,1.0,1.0,managers are extremely bad,job security and working culture,-1,managers are extremely bad job security and working culture
Quality Engineer - PMS And Complaint Handling,Pune,,Engineering & Manufacturing Department,5 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,coustomer first approach team work taking care of each employee as a family,nothing,1,coustomer first approach team work taking care of each employee as a family nothing
Diploma Apprentice Traniee,Pune,,Production & Manufacturing Department,5 Feb 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,rewarding work culture and job security,compensation is below average as compared to tech companies,1,rewarding work culture and job security compensation is below average as compared to tech companies
Research Scientist,"Cambridge, MA",,Pharmaceutical & Biotechnology Department,9 Dec 2021,4.0,5.0,3.0,3.0,5.0,4.0,4.0,everything,nothing,1,everything nothing
Sales Executive,Kolkata,,Enterprise & B2B Sales Department,0 Jan 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,sustainable business model benefits,not much scope to explore learnings,1,sustainable business model benefits not much scope to explore learnings
Engineer,Pune,,Production & Manufacturing Department,5 Oct 2021,4.0,4.0,2.0,4.0,5.0,5.0,3.0,expectional learning and opportunities,unorganised data  too much of mis work,1,expectional learning and opportunities unorganised data  too much of mis work
National Key Accounts Manager FMCG Baby Care For Modern Trade,Mumbai,,,5 Oct 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,company growt is very best,,1,company growt is very best 
Any,Pcmc,,Cashiering Department,7 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,1, 
IPS Learning Advisor,Pune,Full Time,Software Development Department,7 Jan 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,team work,unorganised very complex work structure,-1,team work unorganised very complex work structure
Sr Team Lead  FPA,Chennai,Full Time,Finance Department,2 Jan 2022,3.0,1.0,3.0,2.0,1.0,3.0,3.0,challenge,job security,0,challenge job security
Manager,Bangalore Rural,Full Time,Finance Department,2 Oct 2021,2.0,1.0,1.0,1.0,3.0,3.0,1.0,work satisfaction towards healthcare initiatives,your roles and responsibilities change as they like no career growth for sure salary and appraisals are worthless,-1,work satisfaction towards healthcare initiatives your roles and responsibilities change as they like no career growth for sure salary and appraisals are worthless
Computer Data Entry Operator,Bbsr,Full Time,Lending Department,9 Feb 2022,4.0,5.0,5.0,5.0,4.0,4.0,5.0,company culture,as a out souresing posting,1,company culture as a out souresing posting
Territory Sales Incharge (tsi),"Pune, Maharashtra",,Marketing Department,5 Feb 2023,3.0,1.0,4.0,2.0,1.0,2.0,2.0,inventions,after 2018 company  management like asm rsm nonsense thinks,0,inventions after 2018 company  management like asm rsm nonsense thinks
Manufacturing Engineer,Pune,,Engineering Department,3 May 2021,3.0,2.0,5.0,5.0,5.0,3.0,3.0,they give you opportunities to present  yourself  express yourself and respect employees,pune plant is operating in 2 shift s with manpower of one shift  work life balance is very poor  you have to attend meetings anytime from day to night,0,they give you opportunities to present  yourself  express yourself and respect employees pune plant is operating in 2 shift s with manpower of one shift  work life balance is very poor  you have to attend meetings anytime from day to night
Finance Planning And Analysis Manager,Chennai,,,6 Jan 2022,3.0,2.0,3.0,2.0,3.0,3.0,3.0,hybrid working,"1 work life balance
2 unable to take leave",0,"hybrid working 1 work life balance
2 unable to take leave"
Accounts Manager,Chennai,,Finance Department,5 Apr 2021,3.0,2.0,3.0,3.0,1.0,3.0,1.0,"company was good 2 years back now its full of politics and many changes in the org structuring without proper communication and also every day you need to work in pressure and job security is zero
think twice before you join",politics work environment worklife balance,0,"company was good 2 years back now its full of politics and many changes in the org structuring without proper communication and also every day you need to work in pressure and job security is zero
think twice before you join politics work environment worklife balance"
Senior Manager - Finance,Chennai,,Top Management Department,9 Apr 2022,1.0,1.0,1.0,3.0,2.0,1.0,1.0,nothing,dont work here,-1,nothing dont work here
Service Executive   (working remotely),,,Customer Success Department,4 May 2022,3.0,3.0,3.0,2.0,4.0,3.0,2.0,service  excutive    vijayawada,salery  is  not   good,0,service  excutive    vijayawada salery  is  not   good
Fp&a Manager,Chennai,Full Time,Finance Department,3 Apr 2021,3.0,4.0,2.0,4.0,3.0,3.0,2.0,pay is decent and their is little pressure from onshore people,your career is in the hands of your line manager feedback from onshore partners doesnt matter you need to know how to manage your manager to survive and excel in the longrun here,0,pay is decent and their is little pressure from onshore people your career is in the hands of your line manager feedback from onshore partners doesnt matter you need to know how to manage your manager to survive and excel in the longrun here
Senior Software Engineer,Bengaluru/Bangalore,Full Time,Quality Assurance and Testing Department,1 Feb 2022,4.0,5.0,4.0,3.0,5.0,4.0,3.0,work life balance,limited growth no exposure to recent technology,1,work life balance limited growth no exposure to recent technology
National Key Account Manager,Gurgaon,Full Time,Enterprise & B2B Sales Department,5 Oct 2021,4.0,4.0,4.0,4.0,4.0,4.0,4.0,great company with great values,nothing,1,great company with great values nothing
Executive Assistant,Pune,Full Time,Hr & Admin Department,1 May 2022,5.0,5.0,4.0,5.0,4.0,4.0,4.0,philips is very good organization it has the best working culture,no job guarantee,1,philips is very good organization it has the best working culture no job guarantee
Deputy Manager,Chennai,Full Time,Accounting & Taxation Department,3 Jan 2022,5.0,2.0,4.0,3.0,3.0,3.0,5.0,philips company policy and its innovative ideas,no work balance withins teams,1,philips company policy and its innovative ideas no work balance withins teams
Technical Lead,Bengaluru,,Software Development Department,2 Apr 2022,4.0,3.0,2.0,4.0,4.0,3.0,3.0,ok ok,policies on paper especially pic in bangalore,1,ok ok policies on paper especially pic in bangalore
Area Manager - Key Account,"Chennai, Tamil Nadu",,Retail & B2C Sales Department,3 Oct 2022,5.0,5.0,4.0,5.0,5.0,5.0,5.0,nice place to work,nothing as such,1,nice place to work nothing as such
Senior Data Engineer,CHENNAI,,Software Development Department,4 Jun 2022,5.0,5.0,4.0,5.0,5.0,5.0,5.0,job securitywork culture,work life balance,1,job securitywork culture work life balance
Data Scientist,Bangalore,,Business Intelligence & Analytics Department,0 Feb 2022,5.0,5.0,5.0,4.0,5.0,5.0,5.0,nothing as of now,everything is ok ok,1,nothing as of now everything is ok ok
Software Engineer2,Bengaluru/Bangalore,,Software Development Department,3 Apr 2022,5.0,2.0,4.0,1.0,5.0,2.0,2.0,compensation is too low,,1,compensation is too low 
L2 Technical Engnr,Delhi,Full Time,Information Technology Department,1 Feb 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,work culture,nothing,1,work culture nothing
Test Designer,Pune,Intern,Quality Assurance and Testing Department,3 Mar 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,great workplace,no complains,1,great workplace no complains
Area Sales Manager,Delhi NCR,,Enterprise & B2B Sales Department,0 Jun 2021,4.0,5.0,5.0,5.0,4.0,4.0,4.0,good company to work with,career growth is very slow,1,good company to work with career growth is very slow
Software Asset Manager - ITAM,Bangalore,,Operations Department,8 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,3.0,work culture,career growth is slow,1,work culture career growth is slow
Software Technologist 1,Bengaluru,,Software Development Department,0 Jul 2021,4.0,4.0,3.0,3.0,5.0,5.0,4.0,unlimited sick leaves work culture worklife balance  company policies  pic campus,good,1,unlimited sick leaves work culture worklife balance  company policies  pic campus good
Validation Compliance,Bangalore Rural,,,8 May 2021,4.0,4.0,4.0,4.0,4.0,4.0,4.0,good mentoring and learning,one should ready to be self trained,1,good mentoring and learning one should ready to be self trained
Intern,"Bengaluru/Bangalore, Karnataka",,Software Development Department,7 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good for experience,timing,1,good for experience timing
Consumer Supporting Engineer,Mumbai,,Engineering & Manufacturing Department,9 Nov 2021,4.0,4.0,4.0,4.0,3.0,4.0,5.0,work life culture,too much politics one man driven company and boot licking is the main problem arrogant hr is employee friendly only if you are near and dear to that one man no team management sales people are not recognised even if you do wonders too much politics not a conducive environment to work in this organisation philips has changed a lot,1,work life culture too much politics one man driven company and boot licking is the main problem arrogant hr is employee friendly only if you are near and dear to that one man no team management sales people are not recognised even if you do wonders too much politics not a conducive environment to work in this organisation philips has changed a lot
Deputy Manager,Gurgaon,,Corporate sales Department,6 Mar 2019,2.0,4.0,1.0,2.0,1.0,1.0,1.0,work life balance,,-1,work life balance 
Software Technologist 1,Bengaluru/Bangalore,,Software Development Department,6 Oct 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,1, 
Senior Manager,Chennai,Full Time,Finance Department,4 Dec 2021,4.0,3.0,5.0,5.0,4.0,5.0,4.0,learnings is very good opportunity is a lot for good performers,work life balance is not same for all,1,learnings is very good opportunity is a lot for good performers work life balance is not same for all
Accounts Executive,Cuttack,Full Time,Accounting & Taxation Department,9 Sep 2021,3.0,4.0,3.0,3.0,3.0,4.0,3.0,good,good,0,good good
Software Developer,Bangalore Rural,,Software Development Department,7 Apr 2021,3.0,3.0,4.0,1.0,4.0,3.0,3.0,work wise its good  if you are in good team and under good manager,compensation structure is very poor ctc what they shows and what you get is totally different no facility  few managers are very bad,0,work wise its good  if you are in good team and under good manager compensation structure is very poor ctc what they shows and what you get is totally different no facility  few managers are very bad
Key Account Manager- B2B (Capex,"Gurgaon/Gurugram, Haryana",,Enterprise & B2B Sales Department,6 Jun 2023,4.0,4.0,3.0,4.0,4.0,4.0,4.0,good company policies and employee friendly organisation,nothing as such everything was good,1,good company policies and employee friendly organisation nothing as such everything was good
HR Reporting And Data Quality Specialist,Pune,,Human Resources Department,2 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"job security is great
the work culture is dutch direct and transparent
managment is amazing 
policies are employee centric","i am ankit i am very thankful to be a party of such an greatfull company which think about their worker as well
i would like to thank all of my senior such as prateek sir payal mam  manish sir  and rest of all who support me in every kind of situation and understanding me as well 
thanks to all of them",1,"job security is great
the work culture is dutch direct and transparent
managment is amazing 
policies are employee centric i am ankit i am very thankful to be a party of such an greatfull company which think about their worker as well
i would like to thank all of my senior such as prateek sir payal mam  manish sir  and rest of all who support me in every kind of situation and understanding me as well 
thanks to all of them"
Sales Promoter,Noida,,Retail & B2C Sales Department,3 Nov 2020,5.0,5.0,5.0,5.0,5.0,5.0,5.0,there is nothing to say in this section because as i observed no loop holes in anything,its a gr8 company and job security is there company policies are too good,1,there is nothing to say in this section because as i observed no loop holes in anything its a gr8 company and job security is there company policies are too good
Deputy Manager,Gurgaon,,Healthcare Department,6 May 2021,3.0,2.0,4.0,4.0,5.0,3.0,3.0,"need to work on work life balance 
pressure is too high on employees for last 1  15 years
execution of company policies diluted once comes down in hirerchy",exposure to world class management,0,"need to work on work life balance 
pressure is too high on employees for last 1  15 years
execution of company policies diluted once comes down in hirerchy exposure to world class management"
Procurement Engineer,Pune,,Procurement & Purchase Department,4 Apr 2021,4.0,5.0,4.0,5.0,5.0,4.0,1.0,very less opportunities to grow management prefers external hires over internal,good culture accountability among colleagues,1,very less opportunities to grow management prefers external hires over internal good culture accountability among colleagues
Marketing Manager,Gurgaon/Gurugram,,Marketing Department,5 Jan 2022,4.0,4.0,4.0,4.0,4.0,4.0,4.0,greater collaboration with global teams will help,"work life balance
working in new technology",1,"greater collaboration with global teams will help work life balance
working in new technology"
Software Engineer,Bangalore Rural,,Software Development Department,6 Aug 2021,4.0,4.0,4.0,4.0,4.0,4.0,4.0,pay salary,,1,pay salary 
Gm -hr,"Gurgaon/Gurugram, Haryana",Full Time,Employee Relations Department,5 Jan 2023,5.0,5.0,2.0,5.0,3.0,2.0,5.0,overall nice work place,management style and internal politics,1,overall nice work place management style and internal politics
Officer,PUNE,Full Time,Software Development Department,2 Sep 2022,5.0,5.0,4.0,5.0,4.0,5.0,3.0,"work culture
friendly work culture",planning,1,"work culture
friendly work culture planning"
Sales Specialist,Kanpur Nagar,Full Time,Retail & B2C Sales Department,7 Dec 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good working culture,nothing,1,good working culture nothing
Project Manager,Pune,Full Time,Product Management - Technology Department,7 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,philips take care of employee and work culture balance with global standard,no way,1,philips take care of employee and work culture balance with global standard no way
Manager,Gurgaon,,Finance Department,7 Apr 2021,3.0,1.0,1.0,4.0,4.0,1.0,3.0,really good exposure to end to end responsibilities,worklife balance is not at all adequate with too much politics meritocracy is not top of agenda,0,really good exposure to end to end responsibilities worklife balance is not at all adequate with too much politics meritocracy is not top of agenda
Assistant Manager Operations,Chennai,,,2 Apr 2021,1.0,4.0,1.0,2.0,4.0,1.0,1.0,its a place where you xcan sit and relax no big learnings no big compensation no good work culture,work culture is terrible and feels like a bpo,-1,its a place where you xcan sit and relax no big learnings no big compensation no good work culture work culture is terrible and feels like a bpo
Site IT Operation Lead,Chennai,,IT Infrastructure Services Department,8 Mar 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,culture and people management,nothing,1,culture and people management nothing
Software Engineer,Bengaluru,,Software Development Department,5 Apr 2021,4.0,4.0,3.0,3.0,4.0,3.0,3.0,work life balance and job security are big plus in this company,career growth and compensation benefits are below average compared to industry standards,1,work life balance and job security are big plus in this company career growth and compensation benefits are below average compared to industry standards
Software Engineer,Bangalore,,Software Development Department,5 Mar 2019,3.0,2.0,2.0,2.0,3.0,2.0,2.0,portrayed as a great cultured one but its a very normal mnc,i wouldnt recommend this place for contract to hire,0,portrayed as a great cultured one but its a very normal mnc i wouldnt recommend this place for contract to hire
Sales Executive,Kolkata,,,8 Apr 2021,4.0,4.0,5.0,4.0,4.0,3.0,2.0,company policies are goodjob security is good,there is lot of politicsno transparent job allocationno guidance for 1st months of joining,1,company policies are goodjob security is good there is lot of politicsno transparent job allocationno guidance for 1st months of joining
Merchandiser,Ranchi,Full Time,Digital Marketing Department,6 Dec 2020,5.0,3.0,4.0,4.0,3.0,3.0,3.0,behaviour  towards staffs was really good teammates are supportive and good work environment also they give good salary hike every year,salary is decent but career growth is slow,1,behaviour  towards staffs was really good teammates are supportive and good work environment also they give good salary hike every year salary is decent but career growth is slow
Deputy Manager,Gurgaon,Full Time,SCM & Logistics Department,5 Apr 2021,4.0,3.0,3.0,3.0,4.0,4.0,4.0,policies job security work culture,shortage of manpower low compensation,1,policies job security work culture shortage of manpower low compensation
Mechanical Engineer,Pune,Full Time,,9 Jan 2022,4.0,3.0,3.0,4.0,5.0,5.0,4.0,company policies,long hours,1,company policies long hours
Information Security Project Manager,Bengaluru/Bangalore,Full Time,IT Security Department,9 May 2023,4.0,4.0,4.0,4.0,4.0,4.0,5.0,exposure to security in healthcare domain,nothing,1,exposure to security in healthcare domain nothing
National Logistics Manager,Gurgaon,Full Time,SCM & Logistics Department,9 Apr 2021,5.0,5.0,5.0,4.0,5.0,5.0,4.0,process oriented organization,work from home in current situation ,1,process oriented organization work from home in current situation 
Data Analyst,Chennai,,Business Intelligence & Analytics Department,6 Sep 2021,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,no team support and process in place,0, no team support and process in place
Deputy Manager Change Management,Pune,,Engineering Department,9 May 2022,5.0,4.0,5.0,5.0,5.0,4.0,5.0,work profile w,somtimes work life balance is difficult,1,work profile w somtimes work life balance is difficult
Manager,Chennai,,Accounting & Taxation Department,7 Jan 2020,2.0,3.0,2.0,1.0,1.0,2.0,2.0,lean concepts can be learnt,team management work environment job security,-1,lean concepts can be learnt team management work environment job security
Manager,Chennai,,Lending Department,2 May 2021,3.0,4.0,4.0,4.0,2.0,2.0,3.0,learning and flexible working hours,no transparency in senior management,0,learning and flexible working hours no transparency in senior management
Head - Supply Chain,BGC,,SCM & Logistics Department,6 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,culture and company policies,,1,culture and company policies 
Manager - Accounts,Mumbai,Full Time,Audit & Control Department,6 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,ethics ownership belonging ness,nothing,1,ethics ownership belonging ness nothing
Data Analyst,Gurgaon,Full Time,Business Intelligence & Analytics Department,2 May 2021,5.0,5.0,5.0,3.0,4.0,5.0,4.0,manager and the work life balance is one of kind with learning,slow career growth and bit less aggressive,1,manager and the work life balance is one of kind with learning slow career growth and bit less aggressive
Production Manager,Pune,Full Time,Management Department,2 Jan 2022,5.0,5.0,5.0,4.0,5.0,5.0,5.0,worklife balance,saturday working,1,worklife balance saturday working
Senior Manager,Chennai,Full Time,IT Consulting Department,6 Mar 2021,5.0,5.0,3.0,3.0,3.0,4.0,3.0,our behaviors,few people misuse on philips behaviors because of their experience spent in philips,1,our behaviors few people misuse on philips behaviors because of their experience spent in philips
Assistant Manager,Gurgaon,,Corporate Communication Department,7 Jul 2021,4.0,4.0,4.0,4.0,4.0,4.0,4.0,overall good experience,nothing,1,overall good experience nothing
Senior Accounting Specialist,Chennai,,,7 Sep 2020,1.0,2.0,1.0,1.0,1.0,1.0,1.0,nothing to highlight,worst ever company i have seen philips gbs chennai is not the place for qualified people worst management and poor process will make our career stagnant kindly dont go and join there by its brand value hr policies are worst the leading managers are not qualified and also dont have any leadership qualities human beings cannotwork there we have to obey and work like slaves we cannot raise any voiceread more,-1,nothing to highlight worst ever company i have seen philips gbs chennai is not the place for qualified people worst management and poor process will make our career stagnant kindly dont go and join there by its brand value hr policies are worst the leading managers are not qualified and also dont have any leadership qualities human beings cannotwork there we have to obey and work like slaves we cannot raise any voiceread more
Senior Manager FP&A - Integrated Cost Management,Chennai,,Finance Department,2 Jul 2021,4.0,3.0,3.0,4.0,4.0,3.0,3.0,great place to work and learn some great initiatives within the organization towards team bonding knowledge and cultural growth,politics,1,great place to work and learn some great initiatives within the organization towards team bonding knowledge and cultural growth politics
Sales Executive,Mumbai-Khar (west),,,1 Aug 2022,5.0,5.0,5.0,4.0,5.0,5.0,3.0,i got experienced in retial sales which is excellent,the incentives structure get very pathetic after lockdown,1,i got experienced in retial sales which is excellent the incentives structure get very pathetic after lockdown
Customer Service Executive,Dehradun,,Customer Service Delivery Department,7 Apr 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good work environment and culture teammates are supportive and management is very good,team mates and management is transparent good work culture and fair company policy,1,good work environment and culture teammates are supportive and management is very good team mates and management is transparent good work culture and fair company policy
Training And Marketing Manager,Nairobi,,BD / Pre Sales Department,3 Dec 2020,4.0,4.0,5.0,4.0,4.0,5.0,4.0,lack of organizational structure rest all is fine,,1,lack of organizational structure rest all is fine 
Sales,Bangalore,Full Time,Enterprise & B2B Sales Department,1 Mar 2021,5.0,5.0,5.0,5.0,5.0,5.0,5.0,culture work life balance care for employees professional learnings and growth onsite opportunities infact everything,nothing,1,culture work life balance care for employees professional learnings and growth onsite opportunities infact everything nothing
Deputy Manager Supply Chain Management,Gurgaon,Full Time,SCM & Logistics Department,0 Jan 2022,4.0,4.0,4.0,4.0,5.0,4.0,4.0,flexibility good work environment,not really,1,flexibility good work environment not really
